"",ticker,n_eventos,mae_beta,mae_pdr,mse_beta,mse_pdr,rmse_beta,rmse_pdr,melhor_modelo
405,FFA,44,0.091353,0.058185,0.012472,0.005672,0.111678,0.075315,pdr
406,FFBC,45,0.341104,0.143809,0.145995,0.041657,0.382093,0.204100,pdr
407,FFC,134,0.064748,0.059021,0.007690,0.007315,0.087691,0.085528,pdr
408,FFIC,44,0.181836,0.143535,0.060894,0.050921,0.246768,0.225657,pdr
409,FFIN,45,0.203153,0.192091,0.122241,0.118989,0.349629,0.344949,pdr
410,FFNW,42,0.109645,0.097542,0.022366,0.020399,0.149554,0.142825,pdr
411,FGB,45,0.071243,0.043418,0.006883,0.003687,0.082964,0.060721,pdr
412,FHI,45,0.184251,0.183809,0.050670,0.050632,0.225099,0.225017,pdr
413,FHN,44,0.171799,0.125920,0.059223,0.050893,0.243358,0.225595,pdr
414,FIBK,46,0.276203,0.254531,0.138780,0.126994,0.372531,0.356362,pdr
415,FISI,44,0.314494,0.208745,0.140904,0.094126,0.375371,0.306799,pdr
416,FITB,44,0.126322,0.126239,0.030602,0.030489,0.174935,0.174611,pdr
417,FITBI,44,0.235311,0.108847,0.075325,0.020700,0.274453,0.143875,pdr
418,FIX,44,0.559071,0.438295,0.571660,0.474719,0.756082,0.688999,pdr
